taxon_id,rank,organism_name,parent,parent_rank
28231,genus,Geobacter,213422,family
28236,genus,Petrotoga,1643947,order
28581,genus,Allomyces,4806,family
28844,genus,Diphyllobothrium,28843,family
28895,genus,Thermoanaerobacterium,543371,family
28905,genus,Caedibacter,766,order
29169,genus,Ancylostoma,33278,family
29171,genus,Dictyocaulus,33264,family
29330,genus,Alicyclobacillus,186823,family
29417,genus,Mastigocladus,1189,order
29521,genus,Brachyspira,143786,family
29526,genus,Syntrophobacter,213465,family
29832,genus,Hanseniaspora,34365,family
29888,genus,Calocera,5254,family
31242,genus,Globodera,6301,family
32012,genus,Thiomonas,80840,order
32636,genus,Halothermothrix,972,family
33001,genus,Desulfurella,117942,family
33055,genus,Kinetoplastibacterium,28216,class
33071,genus,Gloeobacter,307595,order
33981,genus,Kineococcus,83778,family
33986,genus,Exiguobacterium,1385,order
34093,genus,Simkania,92712,family
34098,genus,Blattabacterium,39782,family
34102,genus,Sphaerotilus,80840,order
34104,genus,Streptobacillus,1129771,family
34348,genus,Mixia,165795,family
34416,genus,Microbotryum,55071,family
34453,genus,Hebeloma,34450,family
34474,genus,Fomitopsis,1769247,family
34487,genus,Conidiobolus,34486,family
34507,genus,Steinernema,33253,family
35089,genus,Gregarina,35088,family
35103,genus,Pseudocohnilembus,35102,family
35127,genus,Thalassiosira,29202,family
35140,genus,Chrysochromulina,1136790,family
35721,genus,Parasitella,34489,family
35724,genus,Macrophomina,45131,family
35750,genus,Sporichthya,85033,family
35800,genus,Nitrospina,407032,family
35823,genus,Arthrospira,1150,order
35838,genus,Holophaga,574976,family
36048,genus,Tuber,40289,family
36086,genus,Trichuris,119093,family
36658,genus,Volvariella,36657,family
36862,genus,Ideonella <Bacteria>,80840,order
36910,genus,Clavispora,27319,family
36917,genus,Ambrosiozyma,4892,order
36922,genus,Diaporthe,767018,family
37163,genus,Orpinomyces,29007,family
37236,genus,Amauroascus,33184,family
37359,genus,Plasmodiophora,37358,family
37467,genus,Pisolithus,227329,family
37840,genus,Pestalotiopsis,1812776,family
37846,genus,Gyrodactylus,37845,family
37861,genus,Heterorhabditis,33254,family
37884,genus,Rhytidhysteron,100025,family
37914,genus,Dietzia,85029,family
38452,genus,Rutstroemia,110844,family
38946,genus,Paracoccidioides,33183,order
39217,genus,Macrostomum,39216,family
39742,genus,Barnavirus,39741,family
39743,genus,Asfivirus,137992,family
39744,genus,Rubulavirus,11158,family
39749,genus,Hypovirus,39748,family
39751,genus,Avibirnavirus,10993,family
39759,genus,Deltavirus,10239,superkingdom
39760,genus,Idaeovirus,10239,superkingdom
39965,genus,Hypsizygus,930979,family
40118,genus,Candidatus Magnetobacterium,189779,family
40144,genus,Tricholoma,5351,family
40219,genus,Symbiotaphrina,1217820,order
40345,genus,Strongylus,27830,family
40411,genus,Chrysosporium,33183,order
40443,genus,Gloeophyllum,452340,family
40456,genus,Fistulina,40455,family
40463,genus,Peniophora,103393,family
40544,genus,Sutterella,995019,family
40751,genus,Thioploca,135617,family
41275,genus,Brevundimonas,76892,family
41949,genus,Candidatus Microthrix,1798913,family
41687,genus,Scedosporium,5593,family
41955,genus,Amanita,41954,family
42255,genus,Rubrobacter,84997,family
42383,genus,Hyphochytrium,114255,family
43220,genus,Capronia,43219,family
43668,genus,Brachybacterium,85020,family
43673,genus,Jonesia <bacteria>,85022,family
43680,genus,Ascovirus,43682,family
43773,genus,Syntrophus <bacteria>,213468,family
43988,genus,Cyanothece,1118,order
44011,genus,Ferrimonas,267892,family
44055,genus,Aureococcus,54409,order
44471,genus,Microcoleus,1150,order
44474,genus,Pleurocapsa,52604,order
45662,genus,Desulfohalobium,213117,family
45787,genus,Wickerhamiella,410830,family
45989,genus,Methanoculleus,2194,family
46077,genus,Astrammina,2759,superkingdom
46239,genus,Mesoplasma,33925,family
46432,genus,Reticulomyxa,188961,family
46631,genus,Picrophilus,46630,family
47022,genus,Orbilia,47021,family
47251,genus,Leptolyngbya,1150,order
47424,genus,Armillaria,862241,family
48073,genus,Microbulbifer,1706373,family
48736,genus,Ralstonia,119060,family
51027,genus,Enterobius,51026,family
51540,genus,Spraguea,227310,family
52564,genus,Oesophagostomum,63235,family
52605,genus,Myxosarcina,52604,order
52607,genus,Xenococcus,52604,order
53246,genus,Pseudoalteromonas,267888,family
53457,genus,Janibacter,85021,family
53460,genus,Nakamurella,85031,family
53467,genus,Mesocestoides,53466,family
53634,genus,Acidimicrobium,84994,family
54066,genus,Xylophilus,80840,order
54125,genus,Pristionchus,54124,family
54298,genus,Chroococcidiopsis,52604,order
54304,genus,Planktothrix,1150,order
54788,genus,Stagonospora,290882,family
55080,genus,Brevibacillus,186822,family
55193,genus,Malassezia,742845,family
55270,genus,Schmidtea,31262,family
55528,genus,Guillardia,589343,family
55584,genus,Heterococcus <yellow-green algae>,195994,family
57077,genus,Dicrocoelium,73421,family
58050,genus,Moritella,267891,family
57495,genus,Dermacoccus,145357,family
58122,genus,Spirillospora,2012,family
58113,genus,Glycomyces,85034,family
58127,genus,Helminthosporium,4890,phylum
59282,genus,Blastochloris,45401,family
59585,genus,Corynespora,281124,family
59740,genus,Persicobacter,1853234,family
59753,genus,Alcanivorax,224372,family
60496,genus,Thielaviopsis,1028423,family
60919,genus,Sanguibacter,145360,family
61434,genus,Dehalococcoides,1202464,family
63132,genus,Geitlerinema,1150,order
63742,genus,Natrialba,1644061,family
64498,genus,Choanephora,101094,family
64561,genus,Umbelopsis,1403793,family
65047,genus,Mitsuaria,80840,order
65502,genus,Cryptosporangium,622454,family
65356,genus,Albugo,65355,family
65412,genus,Phaeoacremonium,1756146,family
66526,genus,Balamuthia,555408,family
66848,genus,Desulfonatronum,224380,family
67572,genus,Psychromonas,267894,family
67608,genus,Microdochium,1682405,family
68287,genus,Mesorhizobium,69277,family
68288,genus,Cyclobacterium,563798,family
68335,genus,Coprothermobacter,227387,family
68785,genus,Sphaerobolus,68784,family
68787,genus,Scleroderma <basidiomycete>,37466,family
68793,genus,Botryobasidium,68792,family
69474,genus,Orientia,775,family
70535,genus,Edhazardia,322152,family
71151,genus,Methanocalculus,1460864,family
71666,genus,Waddlia,92714,family
71781,genus,Holtermannia,1051672,order
72232,genus,Isaria,474943,family
72358,genus,Trachipleistophora,35232,family
74721,genus,Stachybotrys,1667166,family
75735,genus,Starmerella,4892,order
75905,genus,Thermocrinis,64898,family
76023,genus,Halothece,1118,order
76833,genus,Actinobaculum,2049,family
77043,genus,Rosellinia,37990,family
77521,genus,Haemoproteus,1639121,family
78156,genus,Pseudogymnoascus,34379,family
79328,genus,Chitinophaga,563835,family
79603,genus,Denitrobacterium,1643826,family
80635,genus,Coniophora,80634,family
80744,genus,Serpula <basidiomycete>,389951,family
81099,genus,Mastigamoeba,174815,family
82373,genus,Anaerovibrio,1843491,family
83174,genus,Valsa,5117,family
83551,genus,Parachlamydia,92713,family
84567,genus,Pedobacter,84566,family
84756,genus,Beutenbergia,125316,family
85043,genus,Williamsia <bacteria>,182102,family
85076,genus,Marichromatium,1046,family
85651,genus,Omegatetravirus,1283207,family
87270,genus,Umbilicaria,87265,family
88129,genus,Ophiovirus,568247,family
88138,genus,Modestobacter,85030,family
90257,genus,Saksenaea,90256,family
91373,genus,Diplonema,191814,order
91942,genus,Hortaea,5014,order
92793,genus,Aquabacterium,80840,order
93171,genus,Candidatus Entotheonella,1802339,phylum
93681,genus,Roseateles,80840,order
94008,genus,Thermicanus,539003,family
95339,genus,Lagovirus,11974,family
97095,genus,Eutypa,42364,family
100474,genus,Batrachochytrium,451442,order
100815,genus,Madurella,5139,order
100860,genus,Aphanomyces,4764,family
101120,genus,Thermomucor,499202,family
102106,genus,Collinsella,84107,family
102115,genus,Stanieria,52604,order
102231,genus,Gloeocapsa,1118,order
102234,genus,Cyanobacterium,1118,order
103826,genus,Thelazia,103828,family
104175,genus,Oscillochloris,104174,family
104204,genus,Streptomonospora,83676,family
104242,genus,Clavaria,40105,family
104351,genus,Crepidotus,104350,family
104394,genus,Picobirnavirus,585893,family
105767,genus,Tremella,5215,family
105850,genus,Acidilobus,871007,family
106633,genus,Thioalkalivibrio,72276,family
109168,genus,Desulfotalea,213121,family
109262,genus,Halothiobacillus,255526,family
109632,genus,Galerina,40562,family
109944,genus,Gonapodya,109943,family
110564,genus,Clonostachys,103887,family
110932,genus,Leifsonia,85023,family
111782,genus,Tolypothrix,119859,family
112008,genus,Ignatzschineria,1236,class
114248,genus,Tepidimonas,80840,order
114889,genus,Rhabditophanes,114888,family
117902,genus,Protopolystoma,54588,family
117999,genus,Denitrovibrio,191394,family
118004,genus,Chrysiogenes,189770,family
119977,genus,Acidithiobacillus,225058,family
119979,genus,Thermithiobacillus,225059,family
120961,genus,Roseiflexus,1508635,family
121621,genus,Phyllosticta,1424649,family
124426,genus,Ustilaginoidea,5125,order
125369,genus,Paraphaeosphaeria,221678,family
131324,genus,Pseudocercospora,93133,family
132607,genus,Planktothricoides,1150,order
133407,genus,Acytostelium,33083,order
133746,genus,Punctularia,908827,family
134550,genus,Candidatus Xiphinematobacter,134549,class
135575,genus,Idiomarina,267893,family
139133,genus,Sistotremastrum,1229510,family
139389,genus,Plicaturopsis,5338,order
140295,genus,Varicosavirus,10239,superkingdom
141450,genus,Oleiphilus,191033,family
144051,genus,Cripavirus,232795,family
143901,genus,Benyvirus,1513233,family
143920,genus,Alphanodavirus,12283,family
146784,genus,Bacteriovorax,263369,family
146785,genus,Thermosynechococcus,1118,order
146865,genus,Pseudoloma,6029,phylum
146918,genus,Salinibacter,563843,family
147067,genus,Thermobispora,1760,class
148303,genus,Magnaporthe,81093,family
148959,genus,Wallemia,431958,order
150173,genus,Phialocephala <Helotiales>,5178,order
150793,genus,Phlebopus,178450,family
153135,genus,Gammaretrovirus,11632,family
154116,genus,Georgenia,145358,family
155977,genus,Acaryochloris,1118,order
158045,genus,Phaeomoniella,1618100,order
158378,genus,Ascogregarina,158377,family
159075,genus,Acremonium <Hypocreaceae>,5125,order
160798,genus,Marinitoga,1643947,order
161492,genus,Anaeromyxobacter,1524215,family
162027,genus,Haliangium,224464,family
162171,genus,Magnetococcus,1191479,family
162387,genus,Metapneumovirus,11157,order
162985,genus,Hapalosiphon,1189,order
165440,genus,Dioszegia,5234,order
165779,genus,Anaerococcus,1570339,family
166009,genus,Ditylenchus,114907,family
167375,genus,Cyanobium,1118,order
171868,genus,Thermovibrio,558314,family
172653,genus,Ictalurivirus,548682,family
173479,genus,Gemmatimonas,219687,family
174684,genus,Ordospora,174683,family
180541,genus,Salinisphaera,742031,family
181069,genus,Proteocatella,186802,order
181083,genus,Chlorovirus,10501,family
182269,genus,Aurantimonas,255475,family
182899,genus,Persephonella,224027,family
184431,genus,Coprinopsis,184208,family
186310,genus,Calycina <ascomycete fungus>,47743,family
186458,genus,Bornavirus,178830,family
186475,genus,Kouleothrix,200795,phylum
186537,genus,Marburgvirus,11266,family
186765,genus,Lambdalikevirus,10699,family
186768,genus,Mitovirus,186766,family
