taxon_id,rank,organism_name,parent,parent_rank
188711,family,Thermodesulfobacteriaceae,188710,order
188786,family,Thermaceae,68933,order
188961,family,Reticulomyxidae,2759,superkingdom
189773,family,Herpetosiphonaceae,189772,order
189777,family,Thermomicrobiaceae,189776,order
189779,family,Nitrospiraceae,189778,order
190068,family,Brachybasidiaceae,5404,order
191394,family,Deferribacteraceae,191393,order
191412,family,Chlorobiaceae,191411,order
194924,family,Desulfovibrionaceae,213115,order
195994,family,Heteropediaceae,2978,order
196117,family,Methanocaldococcaceae,2182,order
196937,family,Nimaviridae,10239,superkingdom
203488,family,Dictyoglomaceae,203487,order
204431,family,Fibrobacteraceae,218872,order
204434,family,Acidobacteriaceae,204433,order
206349,family,Hydrogenophilaceae,119069,order
206379,family,Nitrosomonadaceae,32003,order
213119,family,Desulfobacteraceae,213118,order
213422,family,Geobacteraceae,69541,order
213468,family,Syntrophaceae,213462,order
213483,family,Bdellovibrionaceae,213481,order
219687,family,Gemmatimonadaceae,219686,order
224467,family,Nautiliaceae,235899,order
225058,family,Acidithiobacillaceae,225057,order
227310,family,Spraguidae,6029,phylum
241476,family,Soboliphymatidae,119088,class
249184,family,Tymoviridae,675063,order
249310,family,Chrysoviridae,10239,superkingdom
251095,family,Nanoviridae,10239,superkingdom
252141,family,Symbiodiniaceae,89954,order
255474,family,Parvularculaceae,255473,order
286113,family,Synchytriaceae,451435,class
291294,family,Tetrahymenidae,31277,order
291484,family,Hepeviridae,10239,superkingdom
292628,family,Anaerolineaceae,292629,order
292638,family,Globuloviridae,10239,superkingdom
302780,family,Polymastigidae,66288,order
307623,family,Tubulinosematidae,6029,phylum
315429,family,Meloidogynidae,6300,order
320583,family,Conexibacteraceae,588673,order
322152,family,Culicosporidae,6029,phylum
324686,family,Guttaviridae,10239,superkingdom
332161,family,Solibacteraceae,332160,order
338190,family,Nitrosopumilaceae,31932,order
340080,family,Parameciidae,33825,order
388449,family,Ktedonobacteraceae,388448,order
407032,family,Nitrospinaceae,1293499,order
414713,family,Actinospicaceae,414714,order
415002,family,Puniceicoccaceae,415001,order
418966,family,Noelaerhabdaceae,73020,order
423358,family,Bicaudaviridae,10239,superkingdom
425072,family,Monodopsidaceae,425074,order
452340,family,Gloeophyllaceae,452339,order
453228,family,Desulfarculaceae,453227,order
471823,family,Haloplasmataceae,471822,order
475964,family,Caldilineaceae,475963,order
485255,family,Natranaerobiaceae,485256,order
510685,family,Sneathiellaceae,510684,order
549779,family,Mimiviridae,10239,superkingdom
